SK_ID_CURR,TARGET
100001,0.08
100005,0.16
100013,0.04
100028,0.02
100038,0.12
100042,0.11
100057,0.04
100065,0.03
100066,0.02
100067,0.19
100074,0.12
100090,0.04
100091,0.07
100092,0.21
100106,0.11
100107,0.16
100109,0.07
100117,0.08
100128,0.17
100141,0.05
100150,0.05
100168,0.01
100169,0.2
100170,0.01
100171,0.06
100172,0.21
100184,0.09
100187,0.05
100212,0.15
100222,0.11
100223,0.01
100232,0.02
100241,0.17
100245,0.08
100253,0.03
100256,0.23
100271,0.02
100278,0.21
100280,0.0
100306,0.25
100311,0.18
100312,0.06
100330,0.1
100331,0.04
100352,0.05
100358,0.11
100367,0.01
100382,0.18
100384,0.11
100385,0.08
100386,0.08
100399,0.05
100404,0.06
100416,0.01
100422,0.13
100426,0.1
100438,0.04
100444,0.18
100445,0.21
100446,0.17
100447,0.04
100450,0.05
100466,0.05
100483,0.03
100484,0.08
100494,0.15
100510,0.11
100512,0.07
100517,0.0
100548,0.07
100551,0.09
100552,0.18
100553,0.05
100561,0.29
100568,0.45
100569,0.04
100591,0.11
100592,0.01
100602,0.07
100607,0.09
100613,0.11
100617,0.2
100618,0.05
100622,0.13
100625,0.23
100677,0.21
100699,0.05
100702,0.47
100711,0.1
100729,0.09
100740,0.06
100744,0.12
100745,0.09
100747,0.08
100751,0.56
100752,0.07
100753,0.24
100754,0.28
100760,0.05
100762,0.11
100763,0.14
100765,0.03
100770,0.12
100772,0.02
100777,0.02
100791,0.05
100792,0.05
100797,0.03
100823,0.03
100826,0.06
100830,0.06
100836,0.23
100872,0.17
100910,0.11
100913,0.44
100918,0.12
100931,0.0
100952,0.15
100953,0.09
100965,0.29
100970,0.08
100982,0.09
100983,0.28
100984,0.09
100987,0.08
100997,0.06
100998,0.2
101002,0.08
101005,0.34
101008,0.26
101020,0.08
101021,0.03
101024,0.2
101025,0.17
101026,0.04
101031,0.07
101041,0.04
101051,0.02
101055,0.13
101056,0.27
101057,0.03
101064,0.09
101079,0.19
101087,0.05
101090,0.02
101092,0.15
101097,0.1
101099,0.05
101107,0.08
101118,0.11
101125,0.07
101126,0.02
101128,0.03
101136,0.17
101140,0.17
101149,0.11
101160,0.05
101169,0.25
101181,0.05
101186,0.0
101190,0.17
101193,0.09
101194,0.36
101198,0.21
101200,0.08
101204,0.02
101211,0.1
101213,0.12
101223,0.07
101225,0.04
101237,0.16
101243,0.02
101244,0.18
101258,0.02
101259,0.32
101268,0.12
101269,0.01
101271,0.09
101279,0.07
101281,0.21
101287,0.02
101292,0.07
101294,0.08
101296,0.03
101297,0.01
101299,0.21
101301,0.11
101305,0.28
101308,0.21
101318,0.01
101327,0.29
101329,0.03
