SK_ID_CURR,TARGET
100001,0.08
100005,0.1
100013,0.05
100028,0.08
100038,0.22
100042,0.1
100057,0.06
100065,0.09
100066,0.07
100067,0.27
100074,0.14
100090,0.09
100091,0.17
100092,0.14
100106,0.08
100107,0.16
100109,0.09
100117,0.14
100128,0.14
100141,0.12
100150,0.05
100168,0.06
100169,0.1
100170,0.06
100171,0.06
100172,0.26
100184,0.08
100187,0.07
100212,0.13
100222,0.11
100223,0.07
100232,0.03
100241,0.22
100245,0.13
100253,0.09
100256,0.12
100271,0.09
100278,0.26
100280,0.15
100306,0.17
100311,0.2
100312,0.09
100330,0.16
100331,0.08
100352,0.13
100358,0.1
100367,0.02
100382,0.2
100384,0.15
100385,0.16
100386,0.11
100399,0.02
100404,0.15
100416,0.08
100422,0.19
100426,0.04
100438,0.06
100444,0.15
100445,0.07
100446,0.18
100447,0.08
100450,0.08
100466,0.05
100483,0.01
100484,0.11
100494,0.12
100510,0.17
100512,0.08
100517,0.05
100548,0.06
100551,0.05
100552,0.17
100553,0.05
100561,0.14
100568,0.34
100569,0.02
100591,0.11
100592,0.03
100602,0.09
100607,0.1
100613,0.11
100617,0.17
100618,0.17
100622,0.21
100625,0.14
100677,0.23
100699,0.07
100702,0.44
100711,0.12
100729,0.18
100740,0.15
100744,0.17
100745,0.06
100747,0.21
100751,0.24
100752,0.12
100753,0.23
100754,0.16
100760,0.08
100762,0.08
100763,0.14
100765,0.08
100770,0.19
100772,0.09
100777,0.01
100791,0.04
100792,0.05
100797,0.05
100823,0.14
100826,0.13
100830,0.04
100836,0.24
100872,0.18
100910,0.12
100913,0.3
100918,0.14
100931,0.03
100952,0.11
100953,0.11
100965,0.32
100970,0.02
100982,0.19
100983,0.26
100984,0.04
100987,0.09
100997,0.06
100998,0.1
101002,0.14
101005,0.25
101008,0.21
101020,0.07
101021,0.05
101024,0.12
101025,0.13
101026,0.07
101031,0.05
101041,0.06
101051,0.02
101055,0.15
101056,0.35
101057,0.08
101064,0.02
101079,0.15
101087,0.06
101090,0.04
101092,0.17
101097,0.14
101099,0.03
101107,0.09
101118,0.08
101125,0.1
101126,0.01
101128,0.09
101136,0.31
101140,0.18
101149,0.07
101160,0.04
101169,0.28
101181,0.1
101186,0.05
101190,0.16
101193,0.14
101194,0.2
101198,0.21
101200,0.08
101204,0.05
101211,0.03
101213,0.17
101223,0.07
101225,0.14
101237,0.11
101243,0.07
101244,0.17
101258,0.11
101259,0.26
101268,0.15
101269,0.08
101271,0.14
101279,0.03
101281,0.19
101287,0.07
101292,0.06
101294,0.06
101296,0.05
101297,0.07
101299,0.17
101301,0.09
101305,0.06
101308,0.21
101318,0.04
101327,0.19
101329,0.04
101332,0.17
101337,0.05
101343,0.03
101345,0.01
101346,0.05
101353,0.03
101354,0.23
101355,0.15
101356,0.02
101362,0.1
101363,0.23
101365,0.02
101366,0.09
101367,0.21
101368,0.05
101374,0.13
101380,0.06
101383,0.06
101398,0.05
101399,0.26
101401,0.12
101412,0.1
101426,0.11
101427,0.3
101428,0.19
101429,0.13
101434,0.13
101440,0.21
101448,0.04
101449,0.13
101465,0.1
101467,0.13
101472,0.15
101478,0.2
101497,0.09
101504,0.2
101547,0.09
101548,0.14
101555,0.17
101570,0.08
101572,0.07
101578,0.14
101580,0.19
101588,0.3
101602,0.19
101610,0.16
101614,0.12
101616,0.05
101643,0.06
101644,0.19
101649,0.15
101650,0.11
101665,0.03
101667,0.16
101669,0.08
101674,0.08
101675,0.03
101678,0.11
101682,0.19
101686,0.08
101697,0.34
101700,0.26
101711,0.07
101714,0.1
101715,0.26
101728,0.14
101732,0.08
101757,0.22
101758,0.12
101759,0.13
101762,0.05
101764,0.07
101780,0.26
101784,0.05
101789,0.0
101816,0.07
101819,0.07
101827,0.01
101863,0.18
101867,0.07
101870,0.03
101873,0.28
101878,0.15
101879,0.17
101880,0.07
101887,0.08
101897,0.06
101901,0.1
101903,0.25
101920,0.06
101921,0.05
101922,0.09
101961,0.11
101962,0.09
101971,0.08
101976,0.28
102002,0.15
102005,0.04
102007,0.36
102017,0.03
102019,0.31
102029,0.04
102051,0.2
102052,0.03
102054,0.05
102062,0.09
102067,0.24
102068,0.15
102070,0.05
102090,0.08
102092,0.18
102099,0.09
102100,0.08
102112,0.12
102113,0.04
102122,0.25
102123,0.08
102125,0.08
102126,0.3
102146,0.08
102147,0.11
102151,0.08
102158,0.11
102159,0.07
102162,0.11
102165,0.11
102166,0.01
102174,0.05
102193,0.18
102198,0.07
102205,0.14
102206,0.06
102218,0.1
102221,0.03
102230,0.09
102238,0.15
102248,0.12
102252,0.3
102259,0.11
102262,0.18
102273,0.05
102286,0.17
102293,0.03
102294,0.07
102296,0.06
102298,0.17
102303,0.02
102309,0.18
102315,0.1
102340,0.12
102342,0.16
102344,0.08
102346,0.12
102347,0.03
102374,0.23
102380,0.08
102387,0.13
102393,0.03
102403,0.05
102413,0.1
102414,0.01
102415,0.04
102416,0.06
102439,0.09
102441,0.11
102443,0.05
102444,0.16
102445,0.18
102448,0.05
102449,0.09
102450,0.21
102456,0.03
102458,0.11
102459,0.06
102465,0.03
102470,0.2
102471,0.07
102475,0.12
102476,0.13
102506,0.18
102509,0.08
102519,0.1
102522,0.09
102545,0.04
102549,0.14
102562,0.02
102563,0.05
102568,0.09
102582,0.06
102592,0.02
102597,0.13
102605,0.08
102614,0.1
102617,0.19
102634,0.11
102652,0.06
102655,0.04
102671,0.06
102694,0.06
102701,0.13
102703,0.02
102704,0.0
102713,0.07
102720,0.14
102731,0.06
102733,0.04
102749,0.08
102755,0.05
102763,0.09
102770,0.17
102772,0.11
102799,0.23
102838,0.05
102854,0.0
102862,0.1
102863,0.02
102867,0.03
102868,0.02
102878,0.1
102887,0.04
102898,0.27
102904,0.03
102912,0.06
102919,0.02
102927,0.09
102932,0.07
102933,0.09
102935,0.06
102958,0.07
102969,0.09
102971,0.07
102975,0.03
102979,0.09
102982,0.03
102987,0.15
102989,0.16
102995,0.14
102996,0.14
103000,0.02
103001,0.26
103004,0.12
103010,0.03
103025,0.22
103029,0.13
103046,0.07
103056,0.06
103062,0.17
103078,0.08
103083,0.06
103092,0.04
103096,0.09
103097,0.2
103102,0.24
103112,0.14
103132,0.0
103144,0.14
103145,0.11
103146,0.06
103147,0.2
103158,0.0
103171,0.17
103173,0.1
103184,0.06
103195,0.15
103196,0.06
103206,0.05
103230,0.12
103231,0.09
103232,0.09
103239,0.14
103240,0.16
103243,0.16
103252,0.14
103258,0.1
103259,0.2
103279,0.04
103280,0.03
103286,0.03
103287,0.33
103290,0.02
103298,0.15
103315,0.04
103319,0.08
103334,0.16
103336,0.09
103345,0.05
103368,0.05
103371,0.19
103377,0.08
103398,0.0
103404,0.08
103408,0.2
103410,0.07
103418,0.05
103420,0.27
103432,0.09
103433,0.03
103436,0.04
103440,0.08
103453,0.06
103459,0.09
103460,0.09
103461,0.04
103462,0.11
103473,0.1
103474,0.04
103475,0.2
103478,0.16
103480,0.14
103484,0.03
103494,0.08
103513,0.23
103515,0.07
103516,0.24
103525,0.22
103541,0.25
103544,0.03
103562,0.22
103570,0.31
103572,0.2
103574,0.06
103575,0.09
103591,0.13
103594,0.09
103609,0.06
103613,0.14
103614,0.12
103615,0.13
103624,0.08
103625,0.29
103628,0.15
103629,0.02
103647,0.06
103648,0.1
103651,0.12
103658,0.03
103668,0.09
103669,0.1
103676,0.06
103682,0.08
103683,0.1
103689,0.02
103725,0.11
103733,0.19
103744,0.08
103762,0.19
103771,0.33
103773,0.0
103783,0.07
103784,0.07
103808,0.03
103812,0.07
103813,0.15
103814,0.11
103818,0.23
103824,0.09
103828,0.01
103830,0.19
103840,0.02
103842,0.21
103847,0.17
103848,0.14
103851,0.01
103854,0.18
103857,0.2
103861,0.05
103862,0.14
103865,0.07
103870,0.03
103876,0.06
103891,0.48
103908,0.04
103914,0.05
103918,0.06
103940,0.1
103963,0.17
103966,0.15
103971,0.16
103980,0.14
103984,0.08
103985,0.07
103998,0.22
104019,0.01
104026,0.02
104035,0.17
104044,0.08
104045,0.09
104047,0.17
104051,0.02
104058,0.11
104063,0.04
104066,0.17
104087,0.01
104089,0.08
104095,0.04
104098,0.18
104104,0.06
104110,0.23
104120,0.11
104122,0.02
104131,0.09
104132,0.09
104135,0.05
104136,0.06
104149,0.08
104150,0.06
104156,0.31
104165,0.15
104175,0.05
104179,0.09
104184,0.16
104206,0.07
104216,0.22
104230,0.18
104257,0.05
